Date,Production_Line,Shift,Production_Volume,Planned_Production,Downtime_Hours,Defect_Count,OEE_Percent,Defect_Rate_Percent,Throughput_Efficiency_Percent
2026-02-01,LINE-A,Morning,902,1270,2.2,25,50.06,2.77,71.02
2026-02-01,LINE-A,Afternoon,902,1121,0.47,15,74.47,1.66,80.46
2026-02-01,LINE-A,Night,887,1099,0.43,7,75.76,0.79,80.71
2026-02-01,LINE-B,Morning,949,1257,2.17,34,53.05,3.58,75.5
2026-02-01,LINE-B,Afternoon,1093,1191,2.98,37,55.63,3.39,91.77
2026-02-01,LINE-B,Night,1113,1021,0.02,29,105.9,2.61,109.01
2026-02-01,LINE-C,Morning,848,1058,1.2,32,65.56,3.77,80.15
2026-02-01,LINE-C,Afternoon,987,1270,1.37,48,61.28,4.86,77.72
2026-02-01,LINE-C,Night,854,1243,1.78,7,52.98,0.82,68.7
2026-02-01,LINE-D,Morning,1106,1134,0.51,43,87.76,3.89,97.53
2026-02-01,LINE-D,Afternoon,1073,1088,2.9,13,62.11,1.21,98.62
2026-02-01,LINE-D,Night,1145,1052,0.69,32,96.68,2.79,108.84
2026-02-02,LINE-A,Morning,1166,1263,0.1,18,89.76,1.54,92.32
2026-02-02,LINE-A,Afternoon,880,1049,1.99,6,62.59,0.68,83.89
2026-02-02,LINE-A,Night,1189,1053,1.64,33,87.28,2.78,112.92
2026-02-02,LINE-B,Morning,990,1217,1.35,14,66.66,1.41,81.35
2026-02-02,LINE-B,Afternoon,1069,1270,0.27,27,79.27,2.53,84.17
2026-02-02,LINE-B,Night,1051,1189,0.98,20,76.09,1.9,88.39
2026-02-02,LINE-C,Morning,1036,1052,1.76,29,74.66,2.8,98.48
2026-02-02,LINE-C,Afternoon,1051,1187,1.63,45,67.48,4.28,88.54
2026-02-02,LINE-C,Night,956,1014,0.5,29,85.71,3.03,94.28
2026-02-02,LINE-D,Morning,1126,1008,2.32,48,75.94,4.26,111.71
2026-02-02,LINE-D,Afternoon,935,1062,2.45,21,59.71,2.25,88.04
2026-02-02,LINE-D,Night,1191,1162,2.37,9,71.59,0.76,102.5
2026-02-03,LINE-A,Morning,1030,1040,2.74,13,64.3,1.26,99.04
2026-02-03,LINE-A,Afternoon,1127,1267,0.99,27,76.07,2.4,88.95
2026-02-03,LINE-A,Night,861,1215,2.0,48,50.18,5.57,70.86
2026-02-03,LINE-B,Morning,1159,1213,2.66,5,63.51,0.43,95.55
2026-02-03,LINE-B,Afternoon,1026,1100,2.92,7,58.82,0.68,93.27
2026-02-03,LINE-B,Night,1056,1004,1.68,18,81.68,1.7,105.18
2026-02-03,LINE-C,Morning,1158,1282,1.57,19,71.42,1.64,90.33
2026-02-03,LINE-C,Afternoon,1145,1041,1.32,36,88.96,3.14,109.99
2026-02-03,LINE-C,Night,1030,1240,0.94,36,70.73,3.5,83.06
2026-02-03,LINE-D,Morning,1187,1221,0.42,43,88.78,3.62,97.22
2026-02-03,LINE-D,Afternoon,1036,1142,2.27,40,62.47,3.86,90.72
2026-02-03,LINE-D,Night,812,1159,1.8,26,52.56,3.2,70.06
2026-02-04,LINE-A,Morning,1083,1065,1.87,10,77.2,0.92,101.69
2026-02-04,LINE-A,Afternoon,1083,1027,0.66,24,94.6,2.22,105.45
2026-02-04,LINE-A,Night,1085,1127,2.42,32,65.17,2.95,96.27
2026-02-04,LINE-B,Morning,1030,1189,0.33,31,80.56,3.01,86.63
2026-02-04,LINE-B,Afternoon,920,1115,1.06,7,71.03,0.76,82.51
2026-02-04,LINE-B,Night,1158,1197,1.53,13,77.37,1.12,96.74
2026-02-04,LINE-C,Morning,1117,1164,2.08,46,68.08,4.12,95.96
2026-02-04,LINE-C,Afternoon,971,1151,2.83,36,52.49,3.71,84.36
2026-02-04,LINE-C,Night,895,1232,1.21,16,60.56,1.79,72.65
2026-02-04,LINE-D,Morning,1094,1112,0.44,21,91.18,1.92,98.38
2026-02-04,LINE-D,Afternoon,986,1112,2.93,32,54.37,3.25,88.67
2026-02-04,LINE-D,Night,853,1223,2.72,23,44.79,2.7,69.75
2026-02-05,LINE-A,Morning,925,1129,1.59,30,63.52,3.24,81.93
2026-02-05,LINE-A,Afternoon,959,1197,0.73,8,72.21,0.83,80.12
